,기준년월,그룹번호,그룹내고객수,종목번호,그룹내_매수여부,그룹내_매도여부,매수고객수,매도고객수,평균매수수량,평균매도수량,매수가격_중앙값,매도가격_중앙값,평균가격
0,201907,MAD01,288,A000660,Y,Y,7,17,19,234,74800,78500,74563
1,201907,MAD01,288,A001820,Y,Y,3,4,533,154,47385,46700,48992
2,201907,MAD01,288,A004020,Y,Y,3,3,409,528,41411,40000,40211
3,201907,MAD01,288,A005380,Y,Y,4,3,323,451,140602,140628,134906
4,201907,MAD01,288,A005930,Y,Y,13,19,34,101,45350,46850,46248
5,201907,MAD01,288,A005935,Y,Y,5,6,49,204,37750,38878,38035
6,201907,MAD01,288,A006400,Y,Y,6,5,118,421,225544,234500,236559
7,201907,MAD01,288,A008770,Y,N,4,0,32,0,81890,-1,85257
8,201907,MAD01,288,A009150,Y,Y,14,10,76,83,94211,94900,93698
9,201907,MAD01,288,A034220,Y,Y,3,3,2609,1810,16750,16550,16696
10,201907,MAD01,288,A066570,Y,Y,15,9,60,223,69900,76600,71210
11,201907,MAD01,288,A128940,Y,Y,3,3,36,39,302753,297156,312945
12,201907,MAD02,112,A006800,Y,Y,3,3,1280,6639,7760,7895,7926
13,201907,MAD02,112,A035420,N,Y,0,3,0,55,-1,140719,122813
14,201907,MAD02,112,A042670,Y,Y,4,4,872,2340,5900,6025,6112
15,201907,MAD03,250,A002140,Y,Y,3,3,1286,1286,3800,3895,3203
16,201907,MAD03,250,A005290,Y,Y,6,5,499,432,15300,14150,14357
17,201907,MAD03,250,A005360,Y,Y,9,6,3001,2606,5105,5190,4225
18,201907,MAD03,250,A005390,Y,Y,3,3,5564,4800,1352,1363,1330
19,201907,MAD03,250,A008350,N,Y,0,4,0,1100,-1,3305,3398
20,201907,MAD03,250,A013310,Y,Y,4,4,340,340,3295,3200,2860
21,201907,MAD03,250,A014990,Y,Y,3,3,841,841,3220,3265,3220
22,201907,MAD03,250,A023770,Y,Y,3,3,137,157,47274,45956,39900
23,201907,MAD03,250,A025560,Y,Y,4,4,61071,26750,189,184,170
24,201907,MAD03,250,A028300,Y,Y,9,10,180,419,39175,29208,32626
25,201907,MAD03,250,A036830,Y,Y,3,3,117,57,72050,82000,62346
26,201907,MAD03,250,A048410,Y,Y,4,8,587,709,17550,17550,15369
27,201907,MAD03,250,A052420,Y,Y,3,3,5945,7048,2088,2020,1831
28,201907,MAD03,250,A054940,Y,Y,3,4,1241,1425,1807,1844,1843
29,201907,MAD03,250,A057500,Y,Y,3,3,61,61,4435,4265,3941
30,201907,MAD03,250,A061970,Y,Y,4,5,2380,2334,11500,11400,10811
31,201907,MAD03,250,A067630,Y,Y,5,4,884,864,7180,7220,7155
32,201907,MAD03,250,A078130,Y,Y,8,9,10931,11976,4310,4370,4644
33,201907,MAD03,250,A093230,Y,Y,5,6,2977,2834,424,449,513
