기준년월,그룹내고객수,매수고객수,거래량,거래금액_만원단위,평균가격,직전달TOP3여부,그룹번호,종목번호,표준산업구분코드_대분류,표준산업구분코드_중분류,표준산업구분코드_소분류,시장구분
201907,288,7,2993388.260869565,22449194.78260869,74995.93379205445,1,0,3,9,26,19,1
201907,776,23,2993388.260869565,22449194.78260869,74995.93379205445,1,3,3,9,26,19,1
201907,890,3,2993388.260869565,22449194.78260869,74995.93379205445,1,4,3,9,26,19,1
201907,1615,27,2993388.260869565,22449194.78260869,74995.93379205445,1,5,3,9,26,19,1
201907,634,7,2993388.260869565,22449194.78260869,74995.93379205445,1,8,3,9,26,19,1
201907,175,4,2993388.260869565,22449194.78260869,74995.93379205445,1,10,3,9,26,19,1
201907,152,3,2993388.260869565,22449194.78260869,74995.93379205445,1,11,3,9,26,19,1
201907,253,4,2993388.260869565,22449194.78260869,74995.93379205445,1,13,3,9,26,19,1
201907,286,8,2993388.260869565,22449194.78260869,74995.93379205445,1,16,3,9,26,19,1
201907,545,15,2993388.260869565,22449194.78260869,74995.93379205445,1,17,3,9,26,19,1
201907,143,4,2993388.260869565,22449194.78260869,74995.93379205445,1,19,3,9,26,19,1
201907,637,3,2993388.260869565,22449194.78260869,74995.93379205445,1,20,3,9,26,19,1
201907,1724,38,2993388.260869565,22449194.78260869,74995.93379205445,1,22,3,9,26,19,1
201907,249,3,2993388.260869565,22449194.78260869,74995.93379205445,1,25,3,9,26,19,1
201907,153,7,2993388.260869565,22449194.78260869,74995.93379205445,1,26,3,9,26,19,1
201907,320,7,2993388.260869565,22449194.78260869,74995.93379205445,1,32,3,9,26,19,1
201907,769,20,2993388.260869565,22449194.78260869,74995.93379205445,1,34,3,9,26,19,1
201907,251,4,2993388.260869565,22449194.78260869,74995.93379205445,1,35,3,9,26,19,1
201907,366,3,2993388.260869565,22449194.78260869,74995.93379205445,1,36,3,9,26,19,1
201907,608,7,2993388.260869565,22449194.78260869,74995.93379205445,1,37,3,9,26,19,1
201907,932,5,2993388.260869565,22449194.78260869,74995.93379205445,1,40,3,9,26,19,1
201907,2879,54,2993388.260869565,22449194.78260869,74995.93379205445,1,42,3,9,26,19,1
201907,264,7,2993388.260869565,22449194.78260869,74995.93379205445,1,43,3,9,26,19,1
201907,684,14,2993388.260869565,22449194.78260869,74995.93379205445,1,45,3,9,26,19,1
201907,244,6,2993388.260869565,22449194.78260869,74995.93379205445,1,46,3,9,26,19,1
201907,163,3,2993388.260869565,22449194.78260869,74995.93379205445,1,47,3,9,26,19,1
201907,288,3,256390.52173913052,1031642.1739130436,40237.14164296245,0,0,12,9,0,0,1
201907,253,3,256390.52173913052,1031642.1739130436,40237.14164296245,0,13,12,9,0,0,1
201907,1724,4,256390.52173913052,1031642.1739130436,40237.14164296245,0,22,12,9,0,0,1
201907,769,3,256390.52173913052,1031642.1739130436,40237.14164296245,0,34,12,9,0,0,1
201907,2879,8,256390.52173913052,1031642.1739130436,40237.14164296245,0,42,12,9,0,0,1
