그룹내고객수,거래량,거래금액_만원단위,평균가격,직전달TOP3여부,그룹번호,종목번호,표준산업구분코드_대분류,표준산업구분코드_중분류,표준산업구분코드_소분류,시장구분
288,0.20331193936351277,1.5031177379118223,3.473745155296855,1,0,3,9,26,19,1
776,0.20331193936351277,1.5031177379118223,3.473745155296855,1,3,3,9,26,19,1
890,0.20331193936351277,1.5031177379118223,3.473745155296855,1,4,3,9,26,19,1
1615,0.20331193936351277,1.5031177379118223,3.473745155296855,1,5,3,9,26,19,1
634,0.20331193936351277,1.5031177379118223,3.473745155296855,1,8,3,9,26,19,1
175,0.20331193936351277,1.5031177379118223,3.473745155296855,1,10,3,9,26,19,1
152,0.20331193936351277,1.5031177379118223,3.473745155296855,1,11,3,9,26,19,1
253,0.20331193936351277,1.5031177379118223,3.473745155296855,1,13,3,9,26,19,1
286,0.20331193936351277,1.5031177379118223,3.473745155296855,1,16,3,9,26,19,1
545,0.20331193936351277,1.5031177379118223,3.473745155296855,1,17,3,9,26,19,1
143,0.20331193936351277,1.5031177379118223,3.473745155296855,1,19,3,9,26,19,1
637,0.20331193936351277,1.5031177379118223,3.473745155296855,1,20,3,9,26,19,1
1724,0.20331193936351277,1.5031177379118223,3.473745155296855,1,22,3,9,26,19,1
249,0.20331193936351277,1.5031177379118223,3.473745155296855,1,25,3,9,26,19,1
153,0.20331193936351277,1.5031177379118223,3.473745155296855,1,26,3,9,26,19,1
320,0.20331193936351277,1.5031177379118223,3.473745155296855,1,32,3,9,26,19,1
769,0.20331193936351277,1.5031177379118223,3.473745155296855,1,34,3,9,26,19,1
251,0.20331193936351277,1.5031177379118223,3.473745155296855,1,35,3,9,26,19,1
366,0.20331193936351277,1.5031177379118223,3.473745155296855,1,36,3,9,26,19,1
608,0.20331193936351277,1.5031177379118223,3.473745155296855,1,37,3,9,26,19,1
932,0.20331193936351277,1.5031177379118223,3.473745155296855,1,40,3,9,26,19,1
2879,0.20331193936351277,1.5031177379118223,3.473745155296855,1,42,3,9,26,19,1
264,0.20331193936351277,1.5031177379118223,3.473745155296855,1,43,3,9,26,19,1
684,0.20331193936351277,1.5031177379118223,3.473745155296855,1,45,3,9,26,19,1
244,0.20331193936351277,1.5031177379118223,3.473745155296855,1,46,3,9,26,19,1
163,0.20331193936351277,1.5031177379118223,3.473745155296855,1,47,3,9,26,19,1
386,0.20331193936351277,1.5031177379118223,3.473745155296855,1,7,3,9,26,19,1
104,0.20331193936351277,1.5031177379118223,3.473745155296855,1,14,3,9,26,19,1
102,0.20331193936351277,1.5031177379118223,3.473745155296855,1,27,3,9,26,19,1
116,0.20331193936351277,1.5031177379118223,3.473745155296855,1,29,3,9,26,19,1
92,0.20331193936351277,1.5031177379118223,3.473745155296855,1,33,3,9,26,19,1
91,0.20331193936351277,1.5031177379118223,3.473745155296855,1,38,3,9,26,19,1
444,0.20331193936351277,1.5031177379118223,3.473745155296855,1,41,3,9,26,19,1
112,0.20331193936351277,1.5031177379118223,3.473745155296855,1,1,3,9,26,19,1
140,0.20331193936351277,1.5031177379118223,3.473745155296855,1,18,3,9,26,19,1
250,0.20331193936351277,1.5031177379118223,3.473745155296855,1,2,3,9,26,19,1
87,0.20331193936351277,1.5031177379118223,3.473745155296855,1,23,3,9,26,19,1
103,0.20331193936351277,1.5031177379118223,3.473745155296855,1,24,3,9,26,19,1
150,0.20331193936351277,1.5031177379118223,3.473745155296855,1,31,3,9,26,19,1
167,0.20331193936351277,1.5031177379118223,3.473745155296855,1,12,3,9,26,19,1
97,0.20331193936351277,1.5031177379118223,3.473745155296855,1,21,3,9,26,19,1
102,0.20331193936351277,1.5031177379118223,3.473745155296855,1,15,3,9,26,19,1
84,0.20331193936351277,1.5031177379118223,3.473745155296855,1,30,3,9,26,19,1
115,0.20331193936351277,1.5031177379118223,3.473745155296855,1,28,3,9,26,19,1
204,0.20331193936351277,1.5031177379118223,3.473745155296855,1,44,3,9,26,19,1
106,0.20331193936351277,1.5031177379118223,3.473745155296855,1,9,3,9,26,19,1
82,0.20331193936351277,1.5031177379118223,3.473745155296855,1,39,3,9,26,19,1
86,0.20331193936351277,1.5031177379118223,3.473745155296855,1,6,3,9,26,19,1
288,0.6837432817902502,0.315098247591995,0.26410345951745307,0,0,12,9,0,0,1
776,0.6837432817902502,0.315098247591995,0.26410345951745307,0,3,12,9,0,0,1
890,0.6837432817902502,0.315098247591995,0.26410345951745307,0,4,12,9,0,0,1
1615,0.6837432817902502,0.315098247591995,0.26410345951745307,0,5,12,9,0,0,1
634,0.6837432817902502,0.315098247591995,0.26410345951745307,0,8,12,9,0,0,1
175,0.6837432817902502,0.315098247591995,0.26410345951745307,0,10,12,9,0,0,1
152,0.6837432817902502,0.315098247591995,0.26410345951745307,0,11,12,9,0,0,1
253,0.6837432817902502,0.315098247591995,0.26410345951745307,0,13,12,9,0,0,1
286,0.6837432817902502,0.315098247591995,0.26410345951745307,0,16,12,9,0,0,1
545,0.6837432817902502,0.315098247591995,0.26410345951745307,0,17,12,9,0,0,1
143,0.6837432817902502,0.315098247591995,0.26410345951745307,0,19,12,9,0,0,1
637,0.6837432817902502,0.315098247591995,0.26410345951745307,0,20,12,9,0,0,1
1724,0.6837432817902502,0.315098247591995,0.26410345951745307,0,22,12,9,0,0,1
249,0.6837432817902502,0.315098247591995,0.26410345951745307,0,25,12,9,0,0,1
153,0.6837432817902502,0.315098247591995,0.26410345951745307,0,26,12,9,0,0,1
320,0.6837432817902502,0.315098247591995,0.26410345951745307,0,32,12,9,0,0,1
769,0.6837432817902502,0.315098247591995,0.26410345951745307,0,34,12,9,0,0,1
251,0.6837432817902502,0.315098247591995,0.26410345951745307,0,35,12,9,0,0,1
366,0.6837432817902502,0.315098247591995,0.26410345951745307,0,36,12,9,0,0,1
608,0.6837432817902502,0.315098247591995,0.26410345951745307,0,37,12,9,0,0,1
932,0.6837432817902502,0.315098247591995,0.26410345951745307,0,40,12,9,0,0,1
2879,0.6837432817902502,0.315098247591995,0.26410345951745307,0,42,12,9,0,0,1
264,0.6837432817902502,0.315098247591995,0.26410345951745307,0,43,12,9,0,0,1
684,0.6837432817902502,0.315098247591995,0.26410345951745307,0,45,12,9,0,0,1
