종목번호,종목번호_원본
0,A000100
1,A000140
2,A000440
3,A000660
4,A000885
5,A000990
6,A001510
7,A001520
8,A001840
9,A003000
10,A003010
11,A003490
12,A004020
13,A004370
14,A00499K
15,A005360
16,A005380
17,A005930
18,A005935
19,A006800
20,A007070
21,A007570
22,A007660
23,A007980
24,A008060
25,A008930
26,A009240
27,A009830
28,A010140
29,A010145
30,A010600
31,A010950
32,A011150
33,A011280
34,A011320
35,A012700
36,A014100
37,A015760
38,A017670
39,A018880
40,A019170
41,A021240
42,A023530
43,A023590
44,A025440
45,A025870
46,A028100
47,A030200
48,A030350
49,A032640
50,A032850
51,A033170
52,A033250
53,A034730
54,A035420
55,A035720
56,A036540
57,A036570
58,A036930
59,A037330
60,A038540
61,A042670
62,A044960
63,A047050
64,A047400
65,A047820
66,A049080
67,A050120
68,A051780
69,A051910
70,A052260
71,A052900
72,A058110
73,A058400
74,A060370
75,A065170
76,A066430
77,A067080
78,A068270
79,A082270
80,A086520
81,A089150
82,A089980
83,A090410
84,A090430
85,A091990
86,A095610
87,A096530
88,A096770
89,A102940
90,A105560
91,A105840
92,A114120
93,A115180
94,A123010
95,A131390
96,A133750
97,A139050
98,A139130
99,A141020
100,A158430
101,A166090
102,A174880
103,A193250
104,A195440
105,A196490
106,A200670
107,A200780
108,A206560
109,A215100
110,A217730
111,A218410
112,A222080
113,A225430
114,A228760
115,A234100
116,A235980
117,A236200
118,A239340
119,A242040
120,A248170
121,A257370
122,A263720
123,A272210
124,A281820
125,A282880
126,A285130
127,A288620
128,A290550
129,A307930
130,A317530
131,A317870
132,A353810
