그룹내고객수,매수고객수,거래량,거래금액_만원단위,평균가격,직전달TOP3여부,그룹번호,종목번호,표준산업구분코드_중분류,표준산업구분코드_소분류,시장구분
288,7,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,0,3,26,19,1
776,23,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,3,3,26,19,1
890,3,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,4,3,26,19,1
1615,27,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,5,3,26,19,1
634,7,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,8,3,26,19,1
175,4,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,10,3,26,19,1
152,3,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,11,3,26,19,1
253,4,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,13,3,26,19,1
286,8,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,16,3,26,19,1
545,15,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,17,3,26,19,1
143,4,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,19,3,26,19,1
637,3,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,20,3,26,19,1
1724,38,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,22,3,26,19,1
249,3,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,25,3,26,19,1
153,7,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,26,3,26,19,1
320,7,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,32,3,26,19,1
769,20,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,34,3,26,19,1
251,4,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,35,3,26,19,1
366,3,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,36,3,26,19,1
608,7,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,37,3,26,19,1
932,5,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,40,3,26,19,1
2879,54,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,42,3,26,19,1
264,7,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,43,3,26,19,1
684,14,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,45,3,26,19,1
244,6,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,46,3,26,19,1
163,3,2993388.260869565,0.2294895979095898,-0.11110260962759483,1,47,3,26,19,1
288,3,256390.52173913052,-0.5960735048104964,-0.4237030192509634,0,0,12,0,0,1
253,3,256390.52173913052,-0.5960735048104964,-0.4237030192509634,0,13,12,0,0,1
1724,4,256390.52173913052,-0.5960735048104964,-0.4237030192509634,0,22,12,0,0,1
769,3,256390.52173913052,-0.5960735048104964,-0.4237030192509634,0,34,12,0,0,1
2879,8,256390.52173913052,-0.5960735048104964,-0.4237030192509634,0,42,12,0,0,1
288,4,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,0,16,22,37,1
776,3,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,3,16,22,37,1
1615,13,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,5,16,22,37,1
152,3,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,11,16,22,37,1
286,4,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,16,16,22,37,1
637,5,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,20,16,22,37,1
1724,39,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,22,16,22,37,1
769,10,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,34,16,22,37,1
2879,20,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,42,16,22,37,1
684,8,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,45,16,22,37,1
244,5,507707.5217391304,-0.37231552865856715,0.4254455089663489,1,46,16,22,37,1
288,13,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,0,17,32,49,1
776,25,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,3,17,32,49,1
890,10,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,4,17,32,49,1
1615,74,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,5,17,32,49,1
386,4,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,7,17,32,49,1
634,13,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,8,17,32,49,1
175,5,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,10,17,32,49,1
253,9,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,13,17,32,49,1
104,6,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,14,17,32,49,1
286,7,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,16,17,32,49,1
545,20,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,17,17,32,49,1
143,4,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,19,17,32,49,1
637,5,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,20,17,32,49,1
1724,66,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,22,17,32,49,1
153,8,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,26,17,32,49,1
102,0,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,27,17,32,49,1
116,3,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,29,17,32,49,1
320,12,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,32,17,32,49,1
92,0,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,33,17,32,49,1
769,15,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,34,17,32,49,1
251,7,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,35,17,32,49,1
366,8,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,36,17,32,49,1
608,17,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,37,17,32,49,1
91,3,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,38,17,32,49,1
932,8,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,40,17,32,49,1
444,3,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,41,17,32,49,1
2879,92,7990077.869565218,0.7889400899217095,-0.3695268214923366,1,42,17,32,49,1
