거래량,거래금액_만원단위,20년7월TOP3대상여부,시장구분,종목명,종목번호,표준산업구분코드_대분류,표준산업구분코드_소분류,표준산업구분코드_중분류,평균가격,기준년월
52058.260869565216,49083.913043478264,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,9428.650174553595,201907
157349.2380952381,135782.52380952382,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,8629.372817638896,201908
106591.0,86369.21052631579,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,8102.861454186169,201909
125441.57142857143,98802.95238095238,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,7876.412201772557,201910
116930.76190476191,96099.57142857143,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,8218.50211724806,201911
171884.9,136796.85,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,7958.631037397701,201912
183592.05,152268.15,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,8293.831350540506,202001
149193.85,109667.6,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,7350.678328898946,202002
199487.18181818182,120554.04545454546,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,6043.197580705801,202003
1627824.85,1737906.4,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,10676.249352011058,202004
1197746.7894736843,1318878.894736842,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,11011.333165972299,202005
3668714.3181818184,5624914.909090909,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,15332.11479894833,202006
2537303.65,5292583.15,N,코스피,동화약품,A000020,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,20859.084603452964,202007
388738.95652173914,843753.0,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,21704.87381942683,201907
345536.3333333333,736023.5714285715,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,21300.90240665202,201908
537434.5789473684,1391594.8421052631,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,25893.288162270328,201909
408314.3333333333,1105608.9523809524,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,27077.397537214852,201910
352615.85714285716,1033836.8571428572,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,29319.0687883334,201911
335869.75,939908.9,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,27984.327257813486,201912
417292.85,1268773.4,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,30404.867948252646,202001
506798.3,1496552.55,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,29529.54952690252,202002
683647.3181818182,1770364.9545454546,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,25895.88092371658,202003
423685.0,1250884.6,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,29523.929334293167,202004
592294.8947368421,2097412.210526316,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,35411.620616081804,202005
796702.4090909091,3268263.1363636362,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,41022.383001112605,202006
538862.85,2317142.05,N,코스피,하이트진로,A000080,제조업,알코올음료 제조업,음료 제조업,43000.59003881971,202007
62757.913043478264,1509331.5217391304,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,240500.59164546715,201907
37502.76190476191,820848.4761904762,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,218876.806533614,201908
39688.89473684211,894332.8421052631,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,225335.78927686255,201909
30630.904761904763,687451.0952380953,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,224430.55488621048,201910
34482.42857142857,750566.0476190476,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,217666.2371863654,201911
35670.5,829011.9,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,232408.26453231662,201912
30414.55,696368.1,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,228958.87001451608,202001
37864.5,829343.6,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,219029.32826262066,202002
97549.31818181818,2138221.727272727,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,219193.91822784278,202003
541933.45,2844791.6,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,52493.37533972115,202004
872000.4210526316,4628686.315789473,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,53081.239458599965,202005
