,A005380,A105560,A028300,A042670,A055550,A336260,A215600,A066570,A005930,A035420,A096770,A005935,A006800,A079160,A000660,A015760,A139480,A000720,A003490
201907,,,,3.0,,,,,,1.0,,,2.0,,,,,,
201908,,,,,,,3.5,,3.5,1.0,,,,,2.0,,,,
201910,,,2.0,,,1.0,3.5,,3.5,,,,,,,,,,
201911,,,,,,,,1.5,1.5,,,,,,,,,,
201912,,,,,,,,,3.0,,,,,,1.5,,1.5,,
202001,1.0,,,,,,,,5.0,,2.5,,4.0,,,,,2.5,
202002,,,,,,,2.5,,5.0,,,,4.0,1.0,,,2.5,,
202003,1.5,,,,3.0,,,,5.0,,,4.0,,,,1.5,,,
202004,3.0,2.0,,,,,,,5.0,,,,,,4.0,,,,1.0
202005,,4.0,,,2.5,,,,5.0,,,,,,2.5,,,1.0,
202006,,4.0,,,3.0,,,,5.0,,,,1.5,,,,,,1.5
