,A068270,A033180,A078130,A011000,A082270,A028300,A084990,A045060,A003000,A005290,A215600,A093370,A052670,A005360,A027740,A005930,A096530,A008350,A067630,A010660,A052190,A043220,A019170,A065950,A222810,A160600,A005690,A052420,A030790,A007570
201907,,,3.0,,,4.5,,,,1.0,,2.0,,4.5,,,,,,,,,,,,,,,,
201908,,,1.5,,,,,,,,5.0,3.0,,1.5,,,,,,,,,,,,4.0,,,,
201909,3.0,,,,,,1.0,,,,5.0,,,,3.0,,,,,3.0,,,,,,,,,,
201910,,2.0,,,,4.0,,,,,5.0,,,,,,,,3.0,,,1.0,,,,,,,,
201911,,,,,,4.5,,,,,4.5,,,,,,,3.0,,,,,,,1.5,,,1.5,,
201912,,,,,4.0,4.0,,,,,1.0,,,,,2.0,,,,,4.0,,,,,,,,,
202001,,,,,,,,,,,5.0,,2.5,,,4.0,,2.5,,,,,,,,,,,1.0,
202002,,,,2.0,,,,4.0,,,,,,,,2.0,,,,,,,5.0,2.0,,,,,,
202003,,,,2.0,,,,,,,1.0,,,,,5.0,3.0,,,,,,4.0,,,,,,,
202004,,,,4.0,,,,,2.0,,,,,,,1.0,,,,,,,5.0,,,,3.0,,,
202005,,,,,,,,,2.0,,,,,,,3.0,1.0,,,,,,4.0,,,,5.0,,,
202006,,,,1.0,,,,,4.5,,,,,,,,,,,,,,4.5,,,,2.0,,,3.0
