,A094940,A033180,A180640,A078130,A011000,A028300,A084990,A065450,A002070,A045060,A003000,A005290,A215600,A093370,A052260,A005360,A027740,A012690,A005930,A263540,A096530,A298380,A014580,A008350,A067630,A253840,A043200,A065950,A044380,A160600,A005690,A001360,A019170,A007570
201907,,,,3.5,,3.5,,,,,,2.0,,5.0,,,,,,1.0,,,,,,,,,,,,,,
201908,,,,,,,,,2.5,,,,5.0,2.5,,4.0,,,,,,,,,,,,,,1.0,,,,
201909,1.5,,,4.0,,,,,,,,,,,,,5.0,,1.5,,,,3.0,,,,,,,,,,,
201910,,,,,,4.0,1.5,,,,,,5.0,,,,,,,,,1.5,,,3.0,,,,,,,,,
201911,,4.0,,,,2.5,,,,,,,1.0,,5.0,,,,,,,,,2.5,,,,,,,,,,
201912,,4.0,1.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,4.0,,,4.0,,
202001,,,,,,,,,,,,,2.5,,,,,1.0,5.0,,,,,4.0,,,2.5,,,,,,,
202002,,,,,,,,,,4.5,,,,,,,,,3.0,,,,,,,,1.0,4.5,,,,,2.0,
202003,,,,,2.0,,,,,,,,,,,,,,5.0,,4.0,,,,,1.0,,,,,,,3.0,
202004,,,,,1.5,,,,,,1.5,,,,,,,,,,,,,5.0,,,,,,,3.0,,4.0,
202005,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,3.5,,,,,,,5.0,,3.5,
202006,,,,,,,,2.0,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,5.0,3.0
