,A068270,A033180,A105560,A006400,A207940,A028300,A051910,A005290,A215600,A034730,A005360,A027740,A005930,A003060,A096530,A035420,A006800,A067630,A000660,A008770,A009150,A015760,A239340
201907,,,,,,,,4.0,,,,,4.0,,,,,,1.5,,4.0,,1.5
201908,,,,,,,,,,,4.0,,5.0,,,,,,2.0,,2.0,2.0,
201909,,,,,,,,,,,,2.5,5.0,,,,4.0,,2.5,,1.0,,
201910,,,,,,3.0,,,3.0,,,,,,,,3.0,1.0,5.0,,,,
201911,,2.5,,,,,,,,,,,5.0,,,,2.5,2.5,2.5,,,,
201912,,,,2.0,,2.0,,,,,,,4.0,2.0,,,,,5.0,,,,
202001,,,1.0,,,,,,,,,,5.0,,,,4.0,,2.5,,,2.5,
202002,,,,,,,,,,,,,5.0,,,,3.0,,4.0,1.5,,1.5,
202003,,,,,,,1.0,,,,,,5.0,,2.5,,2.5,,4.0,,,,
202004,2.5,,,,1.0,,,,,,,,5.0,,,,2.5,,4.0,,,,
202005,,,,,,,1.5,,,,,,5.0,,,1.5,3.0,,4.0,,,,
202006,1.0,,,,3.0,,,,,4.0,,,5.0,,,,,,2.0,,,,
