,A004020,A051910,A035720,A068270,A005930,A064350,A030200,A005380,A015760,A096770,A005935,A006400,A010140,A017670,A028300,A091990,A000660
201907,,,,,,,,,1.0,,,,,,,,
201908,,,,,1.5,1.5,,,,,,,,,,,
201910,,2.5,,,,,,,4.0,,,,,,2.5,1.0,
201911,4.0,,,2.0,5.0,,,,2.0,2.0,,,,,,,
201912,,,,,1.0,,,,,,,,,,,,
202001,1.5,,,1.5,4.0,,3.0,,,,,,,,,,
202002,,,,,4.0,,,,2.0,,3.0,,1.0,,,,
202003,,,,,5.0,,,,3.0,,4.0,2.0,,,,,1.0
202004,,,2.0,,4.5,,,1.0,3.0,,4.5,,,,,,
202005,,,1.5,,3.0,,4.0,,5.0,,1.5,,,,,,
202006,,,3.0,,,,4.0,,5.0,,1.0,,,2.0,,,
