,A004020,A005380,A068270,A005930,A005490,A034220,A009150,A090430,A015760,A008770,A035720,A005935,A010140,A000270,A066570,A000660
201907,,,,3.5,,,2.0,1.0,5.0,,,,,,3.5,
201908,,,,4.0,,3.0,1.0,,5.0,,,,,,2.0,
201909,,,,3.5,1.5,,,,5.0,,,,,,3.5,1.5
201910,,1.0,,4.0,,2.5,,,5.0,,,,2.5,,,
201911,1.0,,,3.5,,3.5,,,5.0,,,,2.0,,,
201912,,5.0,,3.0,,,,,4.0,,,,1.0,,,2.0
202001,,3.0,2.0,4.0,,,,,5.0,,,,1.0,,,
202002,,,,4.0,,,,,5.0,1.0,,3.0,,2.0,,
202003,,3.0,,5.0,,,,,4.0,,,2.0,,,,1.0
202004,,3.0,,5.0,,,,,4.0,,,1.0,,,,2.0
202005,,1.0,,5.0,,,,,4.0,,,2.0,,,,3.0
202006,,1.0,,4.0,,,,,5.0,,2.5,2.5,,,,
