,A051910,A068270,A005930,A034220,A009150,A090430,A033180,A215600,A005935,A003670,A006400,A093370,A000660
201907,2.0,,5.0,,4.0,1.0,,,,,,,3.0
201908,,,5.0,,3.5,,,3.5,,,,2.0,1.0
201909,4.0,,5.0,1.0,,,,,,,2.0,,3.0
201910,3.0,,5.0,,1.0,,,4.0,,,,,2.0
201911,1.0,,5.0,,,,2.5,2.5,,,,,4.0
201912,3.0,,5.0,1.0,,,,,,,2.0,,4.0
202001,3.0,,5.0,,,,,,2.0,,1.0,,4.0
202002,4.0,,5.0,,,,,,2.0,1.0,,,3.0
202003,3.0,,5.0,,1.0,,,,,,2.0,,4.0
202004,3.0,1.0,5.0,,,,,,,,2.0,,4.0
202005,3.0,,5.0,,,,,,1.0,,2.0,,4.0
202006,3.0,,5.0,,,,,,1.0,,2.0,,4.0
