,A068270,A005390,A105560,A035900,A028300,A032500,A215600,A093370,A091990,A034730,A052260,A093230,A081660,A005930,A034220,A096530,A005935,A006800,A067630,A000660,A008770,A043200,A035620,A009150,A065950,A058820
201907,,5.0,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,4.0,,
201908,3.0,1.0,,,,,5.0,,,,,,,3.0,,,3.0,,,,,,,,,
201909,,,,,1.0,,,,,,,,2.0,4.0,,,4.0,,,,,,,4.0,,
201910,,,,,2.5,,5.0,,,,,,,1.0,,,4.0,,2.5,,,,,,,
201911,,,,2.0,,,,,,,2.0,,,5.0,,,,4.0,,,,,,,,2.0
201912,,,,,,1.5,,,1.5,,,,,5.0,,,3.0,,,4.0,,,,,,
202001,,,,,,,,,1.5,,,,,5.0,,,4.0,,,,3.0,1.5,,,,
202002,,,,,,2.0,,,,,,,,5.0,,,4.0,,,,,,3.0,,1.0,
202003,2.5,,,,,,,,,,,,,5.0,,2.5,4.0,,,1.0,,,,,,
202004,,,2.0,,,,,,3.5,,,,,5.0,,,3.5,1.0,,,,,,,,
202005,,,,,,,,,3.5,,,,,5.0,,,2.0,1.0,,3.5,,,,,,
202006,,,2.0,,,,,,,1.0,,,,5.0,,,3.0,,,4.0,,,,,,
