,A035720,A068270,A005380,A033180,A105560,A268600,A180640,A084850,A078130,A028300,A032500,A084990,A055550,A051910,A006980,A215600,A039130,A091990,A066570,A034730,A052260,A020560,A005360,A005930,A035420,A096530,A006800,A052190,A136480,A004770,A000660,A073070
201907,,3.5,,,,,,,,3.5,,,,,,,1.0,,,,,,,3.5,,,,,,,3.5,
201908,,2.5,,,,,,,,,,,,,,2.5,,,2.5,,,,2.5,5.0,,,,,,,,
201909,,,,,,,,,5.0,,2.5,,,,2.5,,,,,,,,,2.5,,,,,2.5,,,
201910,,,,2.5,,,,,,2.5,,5.0,,,,2.5,,,,,,,,,,,,,,,,2.5
201911,,4.0,,,,,,,2.0,,,,,,,,,,,,2.0,2.0,,5.0,,,,,,,,
201912,,,,,,,,2.5,,,,4.0,,1.0,,,,,,,,,,5.0,,,,2.5,,,,
202001,,,,,,1.5,,,,4.0,,3.0,,,,,,,,,,,,5.0,,,,,,1.5,,
202002,,1.0,,,,,,,,2.5,,4.0,,,,,,,,,,,,5.0,,,,,,,2.5,
202003,2.5,1.0,,,,,,,,,,,,,,,,,,,,,,5.0,,2.5,,,,,4.0,
202004,,,4.0,,,,2.0,,,,,,,,,,,2.0,,,,,,5.0,,,2.0,,,,,
202005,4.0,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,1.5,,,,,1.5,
202006,,,,,2.0,,,,,,,,3.0,,,,,,,5.0,,,,1.0,4.0,,,,,,,
