,A051910,A036830,A005380,A008770,A005930,A035720,A009150,A035420,A215600,A005935,A006400,A039440,A066570,A000660
201907,,1.0,4.0,2.0,5.0,,,,,,,,,3.0
201908,3.0,,,,5.0,,2.0,,,,,,1.0,4.0
201909,,,3.0,,5.0,,,,,,2.0,1.0,,4.0
201910,3.0,,1.0,,5.0,,,,2.0,,,,,4.0
201911,,,2.0,,5.0,1.0,,3.0,,,,,,4.0
201912,3.0,,,,5.0,2.0,,,,1.0,,,,4.0
202001,1.0,,3.0,,5.0,2.0,,,,,,,,4.0
202002,1.0,,,,5.0,2.0,,,,4.0,,,,3.0
202003,4.0,,,,5.0,2.0,,,,1.0,,,,3.0
202004,2.0,,3.0,,5.0,,,,,,1.0,,,4.0
202005,3.0,,,,5.0,4.0,,,,,1.0,,,2.0
202006,3.0,,1.0,,5.0,4.0,,2.0,,,,,,
