,A200230,A094940,A005390,A033180,A007460,A078130,A082270,A028300,A032500,A084990,A065450,A247540,A064260,A215600,A093370,A091990,A034730,A005360,A036830,A027740,A005930,A096530,A006800,A008350,A067630,A004770,A214270,A000660,A073070,A033640,A065950,A285130,A058820,A019170,A026890
201907,,,1.5,,,,,4.5,,,,,,,4.5,,,1.5,3.0,,,,,,,,,,,,,,,,
201908,,,,,,,,4.5,,,,,,,2.0,,,,4.5,,,,,,,,2.0,,2.0,,,,,,
201909,,2.0,,,,4.5,,4.5,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,
201910,,,,,2.0,,,5.0,,4.0,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,
201911,5.0,,,2.5,2.5,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,2.5,,
201912,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,
202001,,,,,,,,3.0,,,,,,3.0,,3.0,,,,,5.0,,,,,1.0,,,,,,,,,
202002,,,,,,,,,,,,1.5,,,,,,,,,5.0,,,,,,,,,,3.5,,,1.5,3.5
202003,,,,,,,,1.0,,,,,,,,3.5,,,,,5.0,3.5,,,,,,2.0,,,,,,,
202004,,,,,,2.0,,,,,,,2.0,,,4.0,,,,,5.0,,,2.0,,,,,,,,,,,
202005,,,,,,,,,,,,,,,,2.5,2.5,,,,5.0,2.5,,,,,,2.5,,,,,,,
202006,,,,,,,,,,,1.5,,,,,4.0,5.0,,,,1.5,,3.0,,,,,,,,,,,,
