,A050890,A222080,A050110,A126880,A033180,A036540,A144620,A268600,A144960,A097780,A078130,A007460,A047400,A032500,A059090,A005290,A054940,A215600,A093370,A088800,A131370,A220260,A005360,A065530,A005930,A049480,A096530,A014580,A010170,A061970,A035620,A012610,A058820,A018290,A218410,A178320,A052420,A047310,A026890
201907,,,,,,,,,,,,,,,,2.5,,,5.0,,,,,,,,,,,,,4.0,,,2.5,1.0,,,
201908,,,,,,,,,,,,,,,,5.0,2.0,,4.0,,,2.0,2.0,,,,,,,,,,,,,,,,
201909,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,4.0,,,,,,,,,4.0,
201910,,,,,,1.5,,,,,3.5,,,,,,,1.5,,,,,,,,,,,,,,,,,,,5.0,3.5,
201911,,,,,1.0,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,
201912,2.0,,,,,,,,2.0,,,2.0,,,,,,,,5.0,,,,,,,,,,,,,4.0,,,,,,
202001,,,,,,,2.0,,,,,,,,,,,4.5,,4.5,,,,,,2.0,,,,,,,,2.0,,,,,
202002,,5.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,
202003,3.5,1.5,,,,,,,,,,,,,1.5,,,,,,,,,,5.0,,3.5,,,,,,,,,,,,
202004,4.5,,,,,2.0,,,,2.0,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,2.0
202005,,5.0,4.0,,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,3.0,,,,,,,,,,
202006,,5.0,,2.0,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,4.0,,,,,,,,,
