,A050890,A050110,A222080,A005390,A033180,A036540,A086390,A097780,A078130,A082270,A192650,A137950,A005290,A054940,A215600,A093370,A091990,A074610,A220260,A052670,A005930,A036810,A003060,A263540,A096530,A014580,A002800,A010660,A010170,A000660,A073070,A063440,A033640,A019170,A065950,A097520,A084680,A058820,A178320,A052420,A026890
201907,,,,2.0,,,,,,,,,4.0,,,5.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,
201908,,,,5.0,,,,,,,,,,3.5,,,,3.5,,,,,,,,,,1.5,,,,,,,,,1.5,,,,
201909,2.5,2.5,,,,,,,,,,2.5,,,,,,,,2.5,,,,,,5.0,,,,,,,,,,,,,,,
201910,,,,,4.5,,4.5,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,
201911,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,1.5,,,,,4.0,,,,,,1.5,,,
201912,,,1.0,,2.5,,,,,5.0,,,,,,,,,,,4.0,,2.5,,,,,,,,,,,,,,,,,,
202001,,,,,,,,,,3.0,,,,,,,,,,,5.0,,,,1.5,,,,,,,,4.0,,,,,,1.5,,
202002,,,4.0,,,,,,,,,,,,,,2.0,,,,5.0,,,,2.0,,,,,,,,,,,,,,,,2.0
202003,,,,,,2.5,,,,,,,,,,,,,,,5.0,,,,4.0,,,,,,,,,2.5,1.0,,,,,,
202004,,,4.5,,,,,2.0,,,,,,,,,2.0,,,,4.5,,,,,,,,,2.0,,,,,,,,,,,
202005,,,5.0,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,1.0,,,,,
202006,,,4.0,,,,,,,,2.0,,3.0,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,
