,A050890,A222080,A327260,A033180,A036540,A317870,A041960,A073560,A102710,A078130,A007460,A028300,A047400,A084990,A317120,A066590,A118990,A003000,A064260,A005290,A215600,A005070,A093370,A041140,A095700,A131370,A303030,A005360,A065530,A123040,A068290,A005930,A096530,A095190,A032680,A043220,A007810,A033640,A073070,A063440,A263700,A061970,A245620,A226330,A294140,A214680,A065950,A021050,A293780,A218410,A052420
201907,,,,,,,,,,4.0,,1.0,,,,,,,,3.0,,,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
201908,,,,,,,,,,5.0,,,1.5,,,,,,,1.5,3.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,
201909,2.0,,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,
201910,,,,,,,,,,,,3.5,,1.5,,,,,,,5.0,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,3.5
201911,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.5,,,,,,,,,,1.5,4.5
201912,,,,2.5,4.5,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.5,,
202001,,,,,,4.5,,,,,,,,,1.5,,,,,,,,,,,,4.5,,3.0,,1.5,,,,,,,,,,,,,,,,,,,,
202002,,,1.0,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,4.5,2.5,,,
202003,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.5,,,,,,,,,,2.0,,1.0,,,,,,
202004,,,,,,,,,,,,,,,,,5.0,4.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,
202005,,3.0,,,,,,,1.0,,,,,,,,4.0,,,,,2.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
202006,,,,,,,,,,,,,,,,,2.5,,,,,,,5.0,2.5,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,
