,A020560,A017800,A005380,A336260,A005930,A034220,A009150,A215600,A005935,A000720,A042670,A066570,A034020,A000660,A003490
201907,2.0,,,,5.0,,2.0,,,2.0,,,,4.0,
201908,,,,,5.0,1.0,,3.0,,,,2.0,,4.0,
201909,2.0,,,,5.0,3.0,,,,,,,1.0,4.0,
201910,,,,1.0,4.5,2.0,,3.0,,,,,,4.5,
201911,1.5,1.5,,,5.0,3.0,,,,,,,,4.0,
201912,,,,,5.0,3.0,,,2.0,,,,,4.0,1.0
202001,,,,,5.0,1.5,,1.5,,,,,,4.0,3.0
202002,,,,,5.0,1.0,,,3.0,,,,,4.0,2.0
202003,1.0,,,,5.0,,,,2.5,,,,,4.0,2.5
202004,2.0,,1.0,,5.0,,,,,,,,,4.0,3.0
202005,,,,1.0,5.0,,,,2.0,,,,,4.0,3.0
202006,,,,,5.0,,,,1.0,,2.0,,,4.0,3.0
