,A068270,A033180,A003280,A268600,A078130,A011000,A028300,A003490,A215600,A093370,A081660,A005360,A005930,A096530,A005935,A010140,A065620,A067630,A010660,A136480,A253840,A000660,A009150,A065950,A160600,A058820,A205470,A026890
201907,,,,,5.0,,2.5,,,2.5,,1.0,4.0,,,,,,,,,,,,,,,
201908,,,,,,,,,,,,4.0,5.0,,,,,,1.0,,,,2.5,,2.5,,,
201909,,,,,,,,,,,3.5,,5.0,,,1.5,,,,1.5,,3.5,,,,,,
201910,,,,,,,2.0,,4.0,,,,5.0,,,,,2.0,,,,2.0,,,,,,
201911,,2.5,,2.5,,,4.0,,,,,,5.0,,,,,,,,,,,,,1.0,,
201912,,,1.5,,,,,,,,,,5.0,,,,1.5,,,,,4.0,,,,3.0,,
202001,,,,,,1.0,,,3.0,,,,5.0,,,,,,,,,4.0,2.0,,,,,
202002,3.5,,,,,,,,,,,,5.0,,,,,,,,,3.5,,1.5,,,,1.5
202003,1.0,,,,,,,,,,,,5.0,4.0,2.5,,,,,,,2.5,,,,,,
202004,,,,,,,,1.5,,,,,5.0,4.0,,,,,,,1.5,3.0,,,,,,
202005,,,,,,,,,,,,,5.0,4.0,,,,,,,2.0,3.0,,,,1.0,,
202006,,,,,,,,,,,,,5.0,4.0,2.0,,,,,,,3.0,,,,,1.0,
