,A035720,A005380,A068270,A102280,A033180,A048410,A078130,A028300,A084990,A065450,A045060,A005290,A215600,A093370,A020560,A052670,A005360,A027740,A012690,A005930,A035420,A096530,A008350,A067630,A010660,A068760,A000660,A043200,A035620,A084680,A005690
201907,,,,,,,4.5,,,,,,2.0,2.0,,,2.0,,,4.5,,,,,,,,,,,
201908,,,,,,,,,,,,1.5,3.0,1.5,,,4.0,,,5.0,,,,,,,,,,,
201909,,,,,,,3.5,,3.5,,,,3.5,,,,,3.5,,,,,,,1.0,,,,,,
201910,,,,,,,1.5,4.0,3.0,,,,5.0,,,,,,,,,,,1.5,,,,,,,
201911,,,,,2.5,2.5,2.5,,,,,,,,2.5,,,,,5.0,,,,,,,,,,,
201912,,,,,,,,1.5,,,,,,,,3.5,,,,5.0,,,,,,,3.5,,,1.5,
202001,,,,2.0,,,,,,,,,4.0,,,,,,,5.0,,,2.0,,,,,2.0,,,
202002,,,,,,,,,,,4.0,,,,,,,,3.0,5.0,,,,,,,,1.5,1.5,,
202003,3.0,1.0,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,,2.0,,,,
202004,3.0,,2.0,,,,,,,,,,,,,,,,,5.0,,4.0,1.0,,,,,,,,
202005,5.0,,,,,,,,,,,,,,,,,,,3.0,2.0,4.0,,,,,,,,,1.0
202006,4.5,,,,,,,,,1.0,,,,,,,,,,4.5,3.0,,,,,2.0,,,,,
