,A005380,A068270,A035720,A005390,A033180,A078130,A084990,A051910,A045060,A215600,A093370,A020560,A012690,A005930,A068290,A035420,A096530,A005935,A008350,A067630,A032680,A136480,A000660,A052900,A065950,A058820,A001360
201907,,2.5,,,,2.5,,,,,4.0,,,5.0,,,,,,,,,,1.0,,,
201908,,2.0,,1.0,,,,,,3.0,4.0,,,5.0,,,,,,,,,,,,,
201909,,,,,,,3.0,3.0,,,,,,5.0,,,,,,,,1.0,3.0,,,,
201910,,,,,1.5,,3.0,,,5.0,,,,4.0,,,,,,1.5,,,,,,,
201911,,,,,3.0,,,,,,,4.0,,5.0,,,,,,,,,,,,2.0,1.0
201912,,,,,4.0,,,,,,,,,5.0,1.5,,,,,,1.5,,3.0,,,,
202001,4.0,2.0,,,,,,,,3.0,,,,5.0,,,,,1.0,,,,,,,,
202002,,,,,,,,,2.5,,,,1.0,5.0,,,,4.0,,,,,,,2.5,,
202003,1.0,,2.0,,,,,,,,,,,5.0,,,4.0,,,,,,3.0,,,,
202004,1.0,,,,,,,,,,,,,5.0,,,4.0,2.0,,,,,3.0,,,,
202005,,,4.0,,,,,,,,,,,5.0,,2.0,3.0,,,,,,1.0,,,,
202006,,,4.0,,,,,,,,,,,5.0,,3.0,1.0,,,,,,2.0,,,,
