,A007390,A033180,A078130,A011000,A028300,A084990,A065450,A045060,A003000,A215600,A093370,A052260,A093230,A052670,A005360,A027740,A012690,A005930,A003060,A263540,A096530,A008350,A067630,A010660,A253840,A068760,A043200,A035620,A065950,A058820,A005690,A019170,A007570
201907,,,5.0,,,,,,,,4.0,,1.0,,2.0,,,,,3.0,,,,,,,,,,,,,
201908,,,2.0,,,,,,,5.0,3.0,,,,4.0,,,,,1.0,,,,,,,,,,,,,
201909,,,4.0,,,1.0,,,,5.0,,,,,,2.5,,,,,,,,2.5,,,,,,,,,
201910,,2.0,1.0,,4.0,,,,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,
201911,,4.5,,,,,,,,4.5,,3.0,,,,,,,,,,2.0,,,,,,,,1.0,,,
201912,2.0,1.0,,,3.5,,,,,,,,,5.0,,,,,3.5,,,,,,,,,,,,,,
202001,,,,,,,,1.0,,5.0,,,,3.5,,,,3.5,,,,,,,,,2.0,,,,,,
202002,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,1.0,2.0,,,5.0,
202003,,,,2.0,,,,,,,,,,,,,,4.0,,,5.0,,,,1.0,,,,,,,3.0,
202004,,,,2.0,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,3.0,5.0,
202005,,,,,,,,,,,,1.0,,,,,,,,,5.0,,,,2.0,,,,,,4.0,3.0,
202006,,,,,,,2.5,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,5.0,2.5
