,A007390,A033180,A180640,A078130,A011000,A082270,A028300,A084990,A065450,A045060,A003000,A215600,A093370,A052260,A093230,A052670,A005360,A027740,A005930,A003060,A263540,A096530,A008350,A067630,A010660,A136480,A253840,A004770,A068760,A035620,A065950,A160600,A019540,A005690,A019170,A007570
201907,,,,4.0,,,,,,,,,5.0,,3.0,,1.0,,,,2.0,,,,,,,,,,,,,,,
201908,,,,,,,,,,,,5.0,3.0,,,,4.0,,,,,,,,,,,,,,,1.5,1.5,,,
201909,,,,2.0,,,,5.0,,,,,,,,,,3.5,,,,,,,3.5,1.0,,,,,,,,,,
201910,,3.0,,,,,4.0,2.0,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
201911,,3.0,,,,,2.0,,,,,4.5,,1.0,,,,,,,,,4.5,,,,,,,,,,,,,
201912,4.5,,2.0,,,4.5,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,
202001,,,,,,,,,,,,4.5,,,,1.0,,,4.5,,,,2.5,,,,,2.5,,,,,,,,
202002,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,2.0,4.0,,,,5.0,
202003,,,,,1.0,,,,,,,,,,,,,,4.0,,,5.0,,,,,3.0,,,,,,,,2.0,
202004,,,,,1.0,,,,,,,,,,,,,,2.0,,,3.0,5.0,,,,,,,,,,,,4.0,
202005,,,,,,,,,,,,,,1.0,,,,,2.0,,,4.0,,,,,,,,,,,,5.0,3.0,
202006,,,,,,,,,4.5,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,4.5,2.0
