,A035720,A068270,A005380,A005490,A105560,A078130,A055550,A051910,A182360,A012330,A066570,A034730,A020560,A005930,A003520,A034220,A035420,A006800,A008770,A009150,A028260
201907,,,,,,,,,,,,2.0,,,,1.0,,,,3.0,
201908,,2.5,,,,,,,,,,1.0,,5.0,,,,2.5,,4.0,
201909,2.0,,,4.5,,,,2.0,,,,2.0,,4.5,,,,,,,
201910,2.0,,,,,,,,,,,,,3.0,,,,,,,1.0
201911,,,,,,3.0,,,3.0,,3.0,,3.0,,3.0,,,,,,
201912,,,,,,,,,,,,,,2.0,,,,1.0,,,
202001,,,2.0,2.0,,,,,,2.0,,,,4.0,,,,,,,
202002,3.5,,2.0,3.5,,,,,,,,,,5.0,,,,,1.0,,
202003,2.5,,4.0,1.0,,,,,,,,2.5,,5.0,,,,,,,
202004,3.0,,4.0,,2.0,,1.0,,,,,,,5.0,,,,,,,
202005,5.0,,,,3.0,,1.0,,,,,,,4.0,,,2.0,,,,
202006,5.0,,,,,,3.0,,,,,1.0,,4.0,,,2.0,,,,
