,A051910,A005380,A035720,A005930,A034220,A035420,A215600,A105560,A005935,A006800,A066570,A000660
201907,,,,5.0,1.5,,,,,1.5,4.0,3.0
201908,,,,5.0,,,3.5,,,2.0,3.5,1.0
201909,1.0,,,5.0,,,,,,2.0,3.0,4.0
201910,,2.5,,4.5,,,1.0,,,2.5,,4.5
201911,,,,5.0,,,,,3.0,4.0,1.0,2.0
201912,,,3.0,5.0,,,,,2.0,1.0,,4.0
202001,,2.0,,5.0,,,,,3.0,,1.0,4.0
202002,,,2.0,5.0,,,,,3.0,,1.0,4.0
202003,,2.0,1.0,5.0,,,,,4.0,,,3.0
202004,,3.0,,5.0,,,,1.0,2.0,,,4.0
202005,,1.5,3.0,5.0,,,,,1.5,,,4.0
202006,,,3.5,5.0,,1.0,,3.5,,,,2.0
