,A086790,A005380,A035720,A005930,A005490,A008770,A009150,A035420,A096770,A030200,A005935,A006400,A017670,A010140,A161890,A017810,A066570,A000660
201907,,1.0,,4.5,,,2.5,,,,,,4.5,,,,,2.5
201908,,,,5.0,,,2.5,,,,,,4.0,,,2.5,,1.0
201909,1.0,,3.0,5.0,3.0,,3.0,,,,,,,,,,,
201910,,,,4.0,,,1.0,,,,,,5.0,2.0,,,,3.0
201911,,,,5.0,,,,,3.0,,,,4.0,1.5,,,1.5,
201912,,,2.0,5.0,,,,1.0,,,4.0,,3.0,,,,,
202001,,,,5.0,,2.0,,,,,3.0,,4.0,,1.0,,,
202002,,,2.0,5.0,,,,,,,4.0,,3.0,,,,1.0,
202003,,,3.0,5.0,,,,,,,4.0,1.0,,,,,,2.0
202004,,1.0,,5.0,,,,,,,4.0,,3.0,,,,,2.0
202005,,,3.0,5.0,,,,,,,4.0,,2.0,,,,,1.0
202006,,,2.0,5.0,,,,,,1.0,3.0,,4.0,,,,,
