,A035720,A005380,A005490,A090430,A005385,A105560,A006400,A028300,A055550,A084990,A051910,A215600,A093370,A034730,A032830,A005930,A00680K,A096530,A035420,A006800,A067630,A000660,A009150,A028260,A002210
201907,,,,,,,,,,,,,3.5,,,2.0,,,,1.0,,,5.0,3.5,
201908,,,,3.5,,,,,,,,1.5,3.5,,1.5,5.0,,,,,,,,,
201909,4.0,,,,,,,,,1.5,4.0,,,,,4.0,,,,,,,,,1.5
201910,,,,,,,,,,,4.0,1.5,,,,,,,,,4.0,1.5,,4.0,
201911,,,3.5,,,,,,,,,,,1.5,,5.0,,,,,1.5,3.5,,,
201912,,,,,1.5,,,3.5,,,,,,,,5.0,1.5,,,,,3.5,,,
202001,,4.0,,,,,,,,,2.5,2.5,,,,5.0,,,,1.0,,,,,
202002,,,,,,2.0,,,,,4.0,,,,,5.0,,,,2.0,,2.0,,,
202003,3.5,2.0,,,,,,,,,,,,,,5.0,,3.5,,,,1.0,,,
202004,,3.5,1.5,,,,,,1.5,,,,,,,5.0,,,,,,3.5,,,
202005,4.5,,,,,,1.5,,,,3.0,,,,,4.5,,,1.5,,,,,,
202006,3.5,,,,,,,,,,3.5,,,1.0,,2.0,,,5.0,,,,,,
